,batter,bowler,non_striker,runs_by_bat,extra_runs,total,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,team_bat,team_ball
0,AC Gilchrist,D Gough,ML Hayden,0,0,0,1,1,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
1,AC Gilchrist,D Gough,ML Hayden,4,0,4,2,1,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
2,AC Gilchrist,D Gough,ML Hayden,0,0,0,3,1,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
3,AC Gilchrist,D Gough,ML Hayden,0,0,0,4,1,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
4,AC Gilchrist,D Gough,ML Hayden,4,0,4,5,1,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
5,AC Gilchrist,D Gough,ML Hayden,0,0,0,6,1,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
6,ML Hayden,J Lewis,AC Gilchrist,4,0,4,1,2,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
7,ML Hayden,J Lewis,AC Gilchrist,1,0,1,2,2,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
8,AC Gilchrist,J Lewis,ML Hayden,0,0,0,3,2,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
9,AC Gilchrist,J Lewis,ML Hayden,0,0,0,4,2,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
10,AC Gilchrist,J Lewis,ML Hayden,4,0,4,5,2,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
11,AC Gilchrist,J Lewis,ML Hayden,1,0,1,6,2,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
12,AC Gilchrist,D Gough,ML Hayden,0,1,1,1,3,{'legbyes': 1},legbyes,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
13,ML Hayden,D Gough,AC Gilchrist,1,0,1,2,3,,-,0,,,bat,England,2,The Rose Bowl,2005-06-13,Australia,England
