,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,PR Stirling,KA Maharaj,A Balbirnie,1,0,1,1,181,1,1,0,-,1.0,0,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Orthodox
1,A Balbirnie,KA Maharaj,PR Stirling,0,0,0,1,181,0,1,0,-,2.0,0,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Orthodox
2,A Balbirnie,KA Maharaj,PR Stirling,0,0,0,1,181,0,2,0,-,3.0,0,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Orthodox
3,A Balbirnie,KA Maharaj,PR Stirling,0,0,0,1,181,0,3,0,-,4.0,0,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Orthodox
4,A Balbirnie,KA Maharaj,PR Stirling,0,0,0,1,181,0,4,0,-,5.0,0,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Orthodox
5,A Balbirnie,KA Maharaj,PR Stirling,0,0,0,1,181,0,5,0,-,6.0,0,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Orthodox
6,PR Stirling,WD Parnell,A Balbirnie,1,0,1,2,180,2,2,0,-,1.0,1,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Medium
7,A Balbirnie,WD Parnell,PR Stirling,0,0,0,2,180,0,6,0,-,2.0,1,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Medium
8,A Balbirnie,WD Parnell,PR Stirling,0,0,0,2,180,0,7,0,-,3.0,1,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Medium
9,A Balbirnie,WD Parnell,PR Stirling,0,0,0,2,180,0,8,1,-,4.0,1,caught,A Balbirnie,KA Maharaj,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Medium
10,L Tucker,WD Parnell,PR Stirling,0,0,0,2,180,0,1,2,-,5.0,1,caught,L Tucker,D Pretorius,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Medium
11,HT Tector,WD Parnell,PR Stirling,1,0,1,3,179,1,1,2,-,6.0,1,0,,,,field,Ireland,2,"County Ground, Bristol",2022,08,South Africa_Ireland_2022-08-05,South Africa,Ireland,South Africa,False,138,Right hand Bat,Right hand Bat,Left arm Medium
