,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,DA Warner,K Santokie,SR Watson,0,0,0,0,150,0,1,0,-,1.0,0,,,0,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Left hand Bat,Right hand Bat,Left arm Medium
1,DA Warner,K Santokie,SR Watson,0,0,0,0,150,0,2,0,-,2.0,0,,,0,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Left hand Bat,Right hand Bat,Left arm Medium
2,DA Warner,K Santokie,SR Watson,0,0,0,0,150,0,3,0,-,3.0,0,,,0,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Left hand Bat,Right hand Bat,Left arm Medium
3,DA Warner,K Santokie,SR Watson,0,0,0,0,150,0,4,0,-,4.0,0,,,0,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Left hand Bat,Right hand Bat,Left arm Medium
4,DA Warner,K Santokie,SR Watson,0,0,0,0,150,0,5,1,-,5.0,bowled,DA Warner,,0,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Left hand Bat,Right hand Bat,Left arm Medium
5,MEK Hussey,K Santokie,SR Watson,0,1,1,1,149,0,0,1,wides,5.0,0,,,0,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Left hand Bat,Right hand Bat,Left arm Medium
6,MEK Hussey,K Santokie,SR Watson,0,0,0,1,149,0,1,1,-,6.0,0,,,0,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Left hand Bat,Right hand Bat,Left arm Medium
7,SR Watson,GE Mathurin,MEK Hussey,0,0,0,1,149,0,1,1,-,1.0,0,,,1,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Right hand Bat,Left hand Bat,Left arm Orthodox
8,SR Watson,GE Mathurin,MEK Hussey,0,0,0,1,149,0,2,1,-,2.0,0,,,1,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Right hand Bat,Left hand Bat,Left arm Orthodox
9,SR Watson,GE Mathurin,MEK Hussey,4,0,4,5,145,4,3,1,-,3.0,0,,,1,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Right hand Bat,Left hand Bat,Left arm Orthodox
10,SR Watson,GE Mathurin,MEK Hussey,0,0,0,5,145,4,4,1,-,4.0,0,,,1,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Right hand Bat,Left hand Bat,Left arm Orthodox
11,SR Watson,GE Mathurin,MEK Hussey,1,0,1,6,144,5,5,1,-,5.0,0,,,1,bat,West Indies,2,"Beausejour Stadium, Gros Islet",2012,03,West Indies_Australia_2012-03-27,Australia,Australia,West Indies,True,153,Right hand Bat,Left hand Bat,Left arm Orthodox
