,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,TA Blundell,Mahedi Hasan,R Ravindra,0,0,0,0,141,0,1,0,1,0,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
1,TA Blundell,Mahedi Hasan,R Ravindra,1,0,1,1,140,1,2,0,2,0,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
2,R Ravindra,Mahedi Hasan,TA Blundell,0,0,0,1,140,0,1,0,3,0,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
3,R Ravindra,Mahedi Hasan,TA Blundell,0,0,0,1,140,0,2,0,4,0,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
4,R Ravindra,Mahedi Hasan,TA Blundell,3,0,3,4,137,3,3,0,5,0,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
5,TA Blundell,Mahedi Hasan,R Ravindra,0,0,0,4,137,1,3,0,6,0,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
6,R Ravindra,Nasum Ahmed,TA Blundell,0,1,1,5,136,3,4,0,1,1,wides,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
7,R Ravindra,Nasum Ahmed,TA Blundell,0,0,0,5,136,3,5,0,2,1,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
8,R Ravindra,Nasum Ahmed,TA Blundell,0,0,0,5,136,3,6,0,3,1,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
9,R Ravindra,Nasum Ahmed,TA Blundell,1,0,1,6,135,4,7,0,4,1,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
10,TA Blundell,Nasum Ahmed,R Ravindra,0,0,0,6,135,1,4,0,5,1,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
11,TA Blundell,Nasum Ahmed,R Ravindra,0,0,0,6,135,1,5,0,6,1,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
12,TA Blundell,Nasum Ahmed,R Ravindra,4,0,4,10,131,5,6,0,7,1,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
13,R Ravindra,Shakib Al Hasan,TA Blundell,0,0,0,10,131,4,8,0,1,2,-,0,,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,09,Bangladesh_New Zealand_2021-09-03,Bangladesh,New Zealand,Bangladesh,137
