,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,0,0,0,0,,0,1,0,1,0,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
1,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,0,0,0,0,,0,2,0,2,0,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
2,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,1,0,1,1,,1,3,0,3,0,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
3,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,1,0,1,2,,1,1,0,4,0,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
4,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,0,0,0,2,,1,4,0,5,0,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
5,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,1,0,1,3,,2,5,0,6,0,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
6,PR Stirling,Fareed Ahmad,KJ O'Brien,1,0,1,4,,3,6,0,1,1,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
7,KJ O'Brien,Fareed Ahmad,PR Stirling,0,0,0,4,,1,2,0,2,1,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
8,KJ O'Brien,Fareed Ahmad,PR Stirling,0,0,0,4,,1,3,0,3,1,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
9,KJ O'Brien,Fareed Ahmad,PR Stirling,0,0,0,4,,1,4,0,4,1,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
10,KJ O'Brien,Fareed Ahmad,PR Stirling,1,0,1,5,,2,5,0,5,1,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
11,PR Stirling,Fareed Ahmad,KJ O'Brien,0,0,0,5,,3,7,0,6,1,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
12,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,0,1,1,6,,2,6,0,1,2,legbyes,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
13,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,1,0,1,7,,4,8,0,2,2,-,0,,,bat,Ireland,1,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019,02,Afghanistan_Ireland_2019-02-21,Afghanistan,Ireland,Afghanistan,False,132
