,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,WU Tharanga,Umar Gul,TM Dilshan,0,1,1,1,186,0,1,0,1,wides,0,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
1,WU Tharanga,Umar Gul,TM Dilshan,0,1,1,2,185,0,2,0,2,wides,0,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
2,WU Tharanga,Umar Gul,TM Dilshan,2,0,2,4,183,2,3,0,3,-,0,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
3,WU Tharanga,Umar Gul,TM Dilshan,0,0,0,4,183,2,4,0,4,-,0,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
4,WU Tharanga,Umar Gul,TM Dilshan,0,0,0,4,183,2,5,0,5,-,0,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
5,WU Tharanga,Umar Gul,TM Dilshan,0,0,0,4,183,2,6,0,6,-,0,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
6,WU Tharanga,Umar Gul,TM Dilshan,0,0,0,4,183,2,7,0,7,-,0,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
7,WU Tharanga,Umar Gul,TM Dilshan,0,0,0,4,183,2,8,0,8,-,0,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
8,TM Dilshan,Sohail Tanvir,WU Tharanga,0,1,1,5,182,0,1,0,1,wides,1,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
9,TM Dilshan,Sohail Tanvir,WU Tharanga,0,1,1,6,181,0,2,0,2,wides,1,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
10,TM Dilshan,Sohail Tanvir,WU Tharanga,4,0,4,10,177,4,3,0,3,-,1,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
11,TM Dilshan,Sohail Tanvir,WU Tharanga,4,0,4,14,173,8,4,0,4,-,1,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
12,TM Dilshan,Sohail Tanvir,WU Tharanga,2,0,2,16,171,10,5,0,5,-,1,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
13,TM Dilshan,Sohail Tanvir,WU Tharanga,2,0,2,18,169,12,6,0,6,-,1,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
14,TM Dilshan,Sohail Tanvir,WU Tharanga,0,0,0,18,169,12,7,0,7,-,1,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
15,TM Dilshan,Sohail Tanvir,WU Tharanga,0,0,0,18,169,12,8,0,8,-,1,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
16,WU Tharanga,Umar Gul,TM Dilshan,0,0,0,18,169,2,9,0,1,-,2,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
17,WU Tharanga,Umar Gul,TM Dilshan,0,0,0,18,169,2,10,0,2,-,2,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
18,WU Tharanga,Umar Gul,TM Dilshan,4,0,4,22,165,6,11,0,3,-,2,0,,,bat,Sri Lanka,1,Sheikh Zayed Stadium,2011,11,Pakistan_Sri Lanka_2011-11-25,Pakistan,Sri Lanka,Pakistan,141
